+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                       description                                                                                                        |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Vandalism took place at 12:04. No known witnesses.                                                                                                                                                                       |
| Shoplifting took place at 03:01. Two people witnessed the event.                                                                                                                                                         |
| Theft of the CS50 duck took place at 10:15am at the Humphrey Street bakery. Interviews were conducted today with three witnesses who were present at the time – each of their interview transcripts mentions the bakery. |
| Money laundering took place at 20:30. No known witnesses.                                                                                                                                                                |
| Littering took place at 16:36. No known witnesses.                                                                                                                                                                       |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                                                     transcript                                                                                                                                                      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Sometime within ten minutes of the theft, I saw the thief get into a car in the bakery parking lot and drive away. If you have security footage from the bakery parking lot, you might want to look for cars that left the parking lot in that time frame.                                                          |
| I don't know the thief's name, but it was someone I recognized. Earlier this morning, before I arrived at Emma's bakery, I was walking by the ATM on Leggett Street and saw the thief there withdrawing some money.                                                                                                 |
| As the thief was leaving the bakery, they called someone who talked to them for less than a minute. In the call, I heard the thief say that they were planning to take the earliest flight out of Fiftyville tomorrow. The thief then asked the person on the other end of the phone to purchase the flight ticket. |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
+----------+---------------+---------+
| activity | license_plate |  name   |
+----------+---------------+---------+
| exit     | 5P2BI95       | Vanessa |
| exit     | 94KL13X       | Bruce   |
| exit     | 6P58WS2       | Barry   |
| exit     | 4328GD8       | Luca    |
| exit     | G412CB7       | Sofia   |
| exit     | L93JTIZ       | Iman    |
| exit     | 322W7JE       | Diana   |
| exit     | 0NTHK55       | Kelsey  |
+----------+---------------+---------+
+---------+------------------+
|  name   | transaction_type |
+---------+------------------+
| Bruce   | withdraw         |
| Diana   | withdraw         |
| Brooke  | withdraw         |
| Kenny   | withdraw         |
| Iman    | withdraw         |
| Luca    | withdraw         |
| Taylor  | withdraw         |
| Benista | withdraw         |
+---------+------------------+
+----------------+----------------+
|     caller     |    receiver    |
+----------------+----------------+
| (130) 555-0289 | (996) 555-8899 |
| (499) 555-9472 | (892) 555-8872 |
| (367) 555-5533 | (375) 555-8161 |
| (499) 555-9472 | (717) 555-1342 |
| (286) 555-6063 | (676) 555-6554 |
| (770) 555-1861 | (725) 555-3243 |
| (031) 555-6622 | (910) 555-3251 |
| (826) 555-1652 | (066) 555-9701 |
| (338) 555-6650 | (704) 555-2131 |
+----------------+----------------+
+-------------+----------------+----------------+----------------+
|    name     |  phone_number  |     caller     |    receiver    |
| Melissa     | (717) 555-1342 | (717) 555-1342 | (117) 555-6630 |
| Melissa     | (717) 555-1342 | (717) 555-1342 | (455) 555-5315 |
| Melissa     | (717) 555-1342 | (717) 555-1342 | (973) 555-3809 |
| Alexis      | (814) 555-5180 | (814) 555-5180 | (016) 555-9166 |
| Alexis      | (814) 555-5180 | (814) 555-5180 | (529) 555-7276 |
| Alexis      | (814) 555-5180 | (814) 555-5180 | (579) 555-5030 |
| Amanda      | (821) 555-5262 | (821) 555-5262 | (130) 555-0289 |
| Amanda      | (821) 555-5262 | (821) 555-5262 | (529) 555-7276 |
| Amanda      | (821) 555-5262 | (821) 555-5262 | (839) 555-1757 |
| Sandra      | (604) 555-0153 | (604) 555-0153 | (122) 555-4581 |
| Sandra      | (604) 555-0153 | (604) 555-0153 | (301) 555-4174 |
| Sandra      | (604) 555-0153 | (604) 555-0153 | (693) 555-7986 |
| Michelle    | (738) 555-2050 | (738) 555-2050 | (666) 555-5774 |
| Michelle    | (738) 555-2050 | (738) 555-2050 | (704) 555-5790 |
| Michelle    | (738) 555-2050 | (738) 555-2050 | (994) 555-3373 |
| Charlotte   | (455) 555-5315 | (455) 555-5315 | (234) 555-1294 |
| Charlotte   | (455) 555-5315 | (455) 555-5315 | (293) 555-1469 |
| Charlotte   | (455) 555-5315 | (455) 555-5315 | (960) 555-2044 |
| Rose        | (336) 555-0077 | (336) 555-0077 | (098) 555-1164 |
| Rose        | (336) 555-0077 | (336) 555-0077 | (609) 555-5876 |
| Edward      | (328) 555-1152 | (328) 555-1152 | (680) 555-4935 |
| Edward      | (328) 555-1152 | (328) 555-1152 | (829) 555-5269 |
| Edward      | (328) 555-1152 | (328) 555-1152 | (960) 555-2044 |
| Carl        | (704) 555-5790 | (704) 555-5790 | (452) 555-8550 |
| Carl        | (704) 555-5790 | (704) 555-5790 | (772) 555-5770 |
| Carl        | (704) 555-5790 | (704) 555-5790 | (873) 555-3868 |
| Denise      | (994) 555-3373 | (994) 555-3373 | (027) 555-1068 |
| Denise      | (994) 555-3373 | (994) 555-3373 | (260) 555-0610 |
| Denise      | (994) 555-3373 | (994) 555-3373 | (328) 555-9658 |
| Brittany    | (398) 555-1013 | (398) 555-1013 | (006) 555-0505 |
| Brittany    | (398) 555-1013 | (398) 555-1013 | (286) 555-0131 |
| Brittany    | (398) 555-1013 | (398) 555-1013 | (329) 555-5870 |
| Thomas      | (286) 555-0131 | (286) 555-0131 | (056) 555-0309 |
| Thomas      | (286) 555-0131 | (286) 555-0131 | (601) 555-6795 |
| Thomas      | (286) 555-0131 | (286) 555-0131 | (725) 555-3243 |
| Steven      | (195) 555-4173 | (195) 555-4173 | (066) 555-9701 |
| Steven      | (195) 555-4173 | (195) 555-4173 | (343) 555-0167 |
| Steven      | (195) 555-4173 | (195) 555-4173 | (771) 555-7880 |
| John        | (016) 555-9166 | (016) 555-9166 | (204) 555-4136 |
| John        | (016) 555-9166 | (016) 555-9166 | (336) 555-0077 |
| John        | (016) 555-9166 | (016) 555-9166 | (337) 555-9411 |
| David       | (260) 555-0610 | (260) 555-0610 | (464) 555-2162 |
| David       | (260) 555-0610 | (260) 555-0610 | (579) 555-5030 |
| David       | (260) 555-0610 | (260) 555-0610 | (721) 555-1131 |
| Ethan       | (594) 555-6254 | (594) 555-6254 | (123) 555-5144 |
| Ethan       | (594) 555-6254 | (594) 555-6254 | (194) 555-5027 |
| Ethan       | (594) 555-6254 | (594) 555-6254 | (328) 555-1152 |
| Donald      | (971) 555-2231 | (971) 555-2231 | (031) 555-6622 |
| Donald      | (971) 555-2231 | (971) 555-2231 | (194) 555-5027 |
| Donald      | (971) 555-2231 | (971) 555-2231 | (398) 555-1013 |
| Bruce       | (367) 555-5533 | (367) 555-5533 | (022) 555-4052 |
| Bruce       | (367) 555-5533 | (367) 555-5533 | (113) 555-7544 |
| Bruce       | (367) 555-5533 | (367) 555-5533 | (238) 555-5554 |
| Bruce       | (367) 555-5533 | (367) 555-5533 | (286) 555-0131 |
| Bruce       | (367) 555-5533 | (367) 555-5533 | (344) 555-9601 |
| Bruce       | (367) 555-5533 | (367) 555-5533 | (375) 555-8161 |
| Bruce       | (367) 555-5533 | (367) 555-5533 | (455) 555-5315 |
| Bruce       | (367) 555-5533 | (367) 555-5533 | (660) 555-3095 |
| Bruce       | (367) 555-5533 | (367) 555-5533 | (696) 555-9195 |
| Bruce       | (367) 555-5533 | (367) 555-5533 | (704) 555-5790 |
| Bruce       | (367) 555-5533 | (367) 555-5533 | (841) 555-3728 |
| Jonathan    | (211) 555-3762 | (211) 555-3762 | (487) 555-5865 |
| Jonathan    | (211) 555-3762 | (211) 555-3762 | (892) 555-8872 |
| Jonathan    | (211) 555-3762 | (211) 555-3762 | (956) 555-1395 |
| Henry       | (645) 555-8082 | (645) 555-8082 | (406) 555-4440 |
| Henry       | (645) 555-8082 | (645) 555-8082 | (547) 555-8781 |
| Henry       | (645) 555-8082 | (645) 555-8082 | (695) 555-0348 |
| Rachel      | (006) 555-0505 | (006) 555-0505 | (147) 555-6818 |
| Rachel      | (006) 555-0505 | (006) 555-0505 | (195) 555-4173 |
| Rachel      | (006) 555-0505 | (006) 555-0505 | (666) 555-5774 |
| Jacqueline  | (910) 555-3251 | (910) 555-3251 | (233) 555-0473 |
| Jacqueline  | (910) 555-3251 | (910) 555-3251 | (579) 555-5030 |
| Jacqueline  | (910) 555-3251 | (910) 555-3251 | (814) 555-5180 |
| Terry       | (730) 555-5115 | (730) 555-5115 | (343) 555-0167 |
| Terry       | (730) 555-5115 | (730) 555-5115 | (707) 555-7535 |
| Terry       | (730) 555-5115 | (730) 555-5115 | (918) 555-5327 |
| Jason       | (636) 555-4198 | (636) 555-4198 | (670) 555-8598 |
| Jason       | (636) 555-4198 | (636) 555-4198 | (704) 555-5790 |
| Ashley      | (770) 555-1196 | (770) 555-1196 | (022) 555-4052 |
| Ashley      | (770) 555-1196 | (770) 555-1196 | (324) 555-0416 |
| Ashley      | (770) 555-1196 | (770) 555-1196 | (375) 555-8161 |
| Dorothy     | (047) 555-0577 | (047) 555-0577 | (059) 555-4698 |
| Dorothy     | (047) 555-0577 | (047) 555-0577 | (344) 555-9601 |
| Dorothy     | (047) 555-0577 | (047) 555-0577 | (962) 555-5827 |
| Ann         | (601) 555-6795 | (601) 555-6795 | (427) 555-0556 |
| Ann         | (601) 555-6795 | (601) 555-6795 | (771) 555-6667 |
| Ann         | (601) 555-6795 | (601) 555-6795 | (877) 555-0523 |
| Maria       | (492) 555-5484 | (492) 555-5484 | (406) 555-4440 |
| Maria       | (492) 555-5484 | (492) 555-5484 | (786) 555-5321 |
| Maria       | (492) 555-5484 | (492) 555-5484 | (841) 555-3728 |
| Sharon      | (343) 555-0167 | (343) 555-0167 | (267) 555-2761 |
| Sharon      | (343) 555-0167 | (343) 555-0167 | (670) 555-8598 |
| Sharon      | (343) 555-0167 | (343) 555-0167 | (973) 555-3809 |
| Sophia      | (027) 555-1068 | (027) 555-1068 | (375) 555-8161 |
| Sophia      | (027) 555-1068 | (027) 555-1068 | (594) 555-6254 |
| Sophia      | (027) 555-1068 | (027) 555-1068 | (717) 555-1342 |
| Jeremy      | (194) 555-5027 | (194) 555-5027 | (233) 555-0473 |
| Jeremy      | (194) 555-5027 | (194) 555-5027 | (310) 555-8568 |
| Jeremy      | (194) 555-5027 | (194) 555-5027 | (918) 555-5327 |
| Daniel      | (971) 555-6468 | (971) 555-6468 | (258) 555-5627 |
| Daniel      | (971) 555-6468 | (971) 555-6468 | (267) 555-2761 |
| Daniel      | (971) 555-6468 | (971) 555-6468 | (342) 555-9260 |
| Jennifer    | (911) 555-0229 | (911) 555-0229 | (645) 555-8082 |
| Jennifer    | (911) 555-0229 | (911) 555-0229 | (725) 555-4692 |
| Jennifer    | (911) 555-0229 | (911) 555-0229 | (741) 555-1748 |
| Nathan      | (293) 555-1469 | (293) 555-1469 | (721) 555-1131 |
| Nathan      | (293) 555-1469 | (293) 555-1469 | (749) 555-4874 |
| Douglas     | (491) 555-2505 | (491) 555-2505 | (130) 555-0289 |
| Douglas     | (491) 555-2505 | (491) 555-2505 | (478) 555-1565 |
| Douglas     | (491) 555-2505 | (491) 555-2505 | (594) 555-2863 |
| Kyle        | (035) 555-2997 | (035) 555-2997 | (056) 555-0309 |
| Kyle        | (035) 555-2997 | (035) 555-2997 | (725) 555-4692 |
| Kyle        | (035) 555-2997 | (035) 555-2997 | (801) 555-8906 |
| Scott       | (801) 555-8906 | (801) 555-8906 | (243) 555-7229 |
| Scott       | (801) 555-8906 | (801) 555-8906 | (450) 555-8297 |
| Scott       | (801) 555-8906 | (801) 555-8906 | (873) 555-8470 |
| Keith       | (209) 555-7806 | (209) 555-7806 | (693) 555-7986 |
| Keith       | (209) 555-7806 | (209) 555-7806 | (711) 555-3007 |
| Keith       | (209) 555-7806 | (209) 555-7806 | (932) 555-1504 |
| Diane       | (147) 555-6818 | (147) 555-6818 | (118) 555-8106 |
| Diane       | (147) 555-6818 | (147) 555-6818 | (398) 555-1013 |
| Diane       | (147) 555-6818 | (147) 555-6818 | (914) 555-5994 |
| Charles     | (427) 555-0556 | (427) 555-0556 | (321) 555-6083 |
| Charles     | (427) 555-0556 | (427) 555-0556 | (329) 555-5870 |
| Charles     | (427) 555-0556 | (427) 555-0556 | (901) 555-8732 |
| Harold      | (669) 555-6918 | (669) 555-6918 | (056) 555-0309 |
| Harold      | (669) 555-6918 | (669) 555-6918 | (914) 555-5994 |
| Harold      | (669) 555-6918 | (669) 555-6918 | (971) 555-6468 |
| Nicole      | (123) 555-5144 | (123) 555-5144 | (007) 555-2874 |
| Nicole      | (123) 555-5144 | (123) 555-5144 | (118) 555-8106 |
| Nicole      | (123) 555-5144 | (123) 555-5144 | (901) 555-8732 |
| Emily       | (406) 555-4440 | (406) 555-4440 | (041) 555-4011 |
| Emily       | (406) 555-4440 | (406) 555-4440 | (122) 555-4581 |
| Emily       | (406) 555-4440 | (406) 555-4440 | (786) 555-5321 |
| Gloria      | (973) 555-3809 | (973) 555-3809 | (505) 555-5698 |
| Gloria      | (973) 555-3809 | (973) 555-3809 | (741) 555-1748 |
| Gloria      | (973) 555-3809 | (973) 555-3809 | (959) 555-4871 |
| Frances     | (059) 555-4698 | (059) 555-4698 | (238) 555-5554 |
| Frances     | (059) 555-4698 | (059) 555-4698 | (247) 555-7205 |
| Frances     | (059) 555-4698 | (059) 555-4698 | (891) 555-5672 |
| Kevin       | (618) 555-9856 | (618) 555-9856 | (042) 555-1772 |
| Kevin       | (618) 555-9856 | (618) 555-9856 | (209) 555-7806 |
| Kevin       | (618) 555-9856 | (618) 555-9856 | (293) 555-1469 |
| Alice       | (031) 555-9915 | (031) 555-9915 | (420) 555-5821 |
| Alice       | (031) 555-9915 | (031) 555-9915 | (496) 555-2096 |
| Alice       | (031) 555-9915 | (031) 555-9915 | (770) 555-1861 |
| Jose        | (914) 555-5994 | (914) 555-5994 | (725) 555-3243 |
| Jose        | (914) 555-5994 | (914) 555-5994 | (932) 555-1504 |
| Jose        | (914) 555-5994 | (914) 555-5994 | (973) 555-3809 |
| Patricia    | (594) 555-2863 | (594) 555-2863 | (060) 555-2489 |
| Patricia    | (594) 555-2863 | (594) 555-2863 | (491) 555-2505 |
| Patricia    | (594) 555-2863 | (594) 555-2863 | (801) 555-9266 |
| Beverly     | (342) 555-9260 | (342) 555-9260 | (219) 555-0139 |
| Beverly     | (342) 555-9260 | (342) 555-9260 | (487) 555-5865 |
| Beverly     | (342) 555-9260 | (342) 555-9260 | (695) 555-0348 |
| Nancy       | (998) 555-1979 | (998) 555-1979 | (195) 555-4173 |
| Nancy       | (998) 555-1979 | (998) 555-1979 | (450) 555-8297 |
| Nancy       | (998) 555-1979 | (998) 555-1979 | (660) 555-3095 |
| Emma        | (329) 555-5870 | (329) 555-5870 | (059) 555-4698 |
| Emma        | (329) 555-5870 | (329) 555-5870 | (394) 555-3247 |
| Emma        | (329) 555-5870 | (329) 555-5870 | (998) 555-1979 |
| Andrew      | (579) 555-5030 | (579) 555-5030 | (113) 555-7544 |
| Andrew      | (579) 555-5030 | (579) 555-5030 | (458) 555-8396 |
| Andrew      | (579) 555-5030 | (579) 555-5030 | (971) 555-6468 |
| Philip      | (725) 555-3243 | (725) 555-3243 | (183) 555-7322 |
| Philip      | (725) 555-3243 | (725) 555-3243 | (222) 555-8026 |
| Mark        | (873) 555-3868 | (873) 555-3868 | (047) 555-0577 |
| Mark        | (873) 555-3868 | (873) 555-3868 | (047) 555-0577 |
| Mark        | (873) 555-3868 | (873) 555-3868 | (873) 555-8470 |
| Timothy     | (962) 555-5827 | (962) 555-5827 | (233) 555-0473 |
| Timothy     | (962) 555-5827 | (962) 555-5827 | (340) 555-8872 |
| Timothy     | (962) 555-5827 | (962) 555-5827 | (458) 555-8396 |
| Robin       | (375) 555-8161 | (375) 555-8161 | (211) 555-3762 |
| Robin       | (375) 555-8161 | (375) 555-8161 | (342) 555-9260 |
| Robin       | (375) 555-8161 | (375) 555-8161 | (801) 555-9266 |
| Janice      | (033) 555-9033 | (033) 555-9033 | (035) 555-2997 |
| Janice      | (033) 555-9033 | (033) 555-9033 | (293) 555-1469 |
| Janice      | (033) 555-9033 | (033) 555-9033 | (367) 555-0409 |
| Carina      | (031) 555-6622 | (031) 555-6622 | (464) 555-2162 |
| Carina      | (031) 555-6622 | (031) 555-6622 | (568) 555-3190 |
| Carina      | (031) 555-6622 | (031) 555-6622 | (594) 555-6254 |
| Carina      | (031) 555-6622 | (031) 555-6622 | (910) 555-3251 |
| Brian       | (636) 555-3370 | (636) 555-3370 | (113) 555-7544 |
| Brian       | (636) 555-3370 | (636) 555-3370 | (328) 555-1152 |
| Brian       | (636) 555-3370 | (636) 555-3370 | (608) 555-9302 |
| Stephen     | (247) 555-7205 | (247) 555-7205 | (529) 555-7276 |
| Stephen     | (247) 555-7205 | (247) 555-7205 | (669) 555-6918 |
| Stephen     | (247) 555-7205 | (247) 555-7205 | (877) 555-0523 |
| Frank       | (356) 555-6641 | (356) 555-6641 | (558) 555-9741 |
| Frank       | (356) 555-6641 | (356) 555-6641 | (725) 555-4692 |
| Frank       | (356) 555-6641 | (356) 555-6641 | (741) 555-1748 |
| Andrea      | (368) 555-3561 | (368) 555-3561 | (183) 555-7322 |
| Andrea      | (368) 555-3561 | (368) 555-3561 | (492) 555-5484 |
| Andrea      | (368) 555-3561 | (368) 555-3561 | (911) 555-0229 |
| Raymond     | (125) 555-8030 | (125) 555-8030 | (168) 555-6126 |
| Raymond     | (125) 555-8030 | (125) 555-8030 | (420) 555-5821 |
| Raymond     | (125) 555-8030 | (125) 555-8030 | (636) 555-3370 |
| Kaelyn      | (098) 555-1164 | (098) 555-1164 | (041) 555-4011 |
| Kaelyn      | (098) 555-1164 | (098) 555-1164 | (234) 555-1294 |
| Kaelyn      | (098) 555-1164 | (098) 555-1164 | (786) 555-5321 |
| Amy         | (670) 555-8598 | (670) 555-8598 | (194) 555-5027 |
| Amy         | (670) 555-8598 | (670) 555-8598 | (911) 555-0229 |
| Doris       | (066) 555-9701 | (066) 555-9701 | (636) 555-4198 |
| Doris       | (066) 555-9701 | (066) 555-9701 | (984) 555-5921 |
| Sarah       | (505) 555-5698 | (505) 555-5698 | (027) 555-1068 |
| Sarah       | (505) 555-5698 | (505) 555-5698 | (749) 555-4874 |
| Sarah       | (505) 555-5698 | (505) 555-5698 | (772) 555-5770 |
| Johnny      | (117) 555-6630 | (117) 555-6630 | (243) 555-7229 |
| Johnny      | (117) 555-6630 | (117) 555-6630 | (544) 555-8087 |
| Johnny      | (117) 555-6630 | (117) 555-6630 | (971) 555-2231 |
| Willie      | (741) 555-1748 | (741) 555-1748 | (117) 555-6630 |
| Willie      | (741) 555-1748 | (741) 555-1748 | (301) 555-4174 |
| Willie      | (741) 555-1748 | (741) 555-1748 | (707) 555-7535 |
| Logan       | (219) 555-0139 | (219) 555-0139 | (464) 555-2162 |
| Logan       | (219) 555-0139 | (219) 555-0139 | (867) 555-9103 |
| Logan       | (219) 555-0139 | (219) 555-0139 | (910) 555-3251 |
| Deborah     | (344) 555-9601 | (344) 555-9601 | (340) 555-8872 |
| Deborah     | (344) 555-9601 | (344) 555-9601 | (604) 555-0153 |
| Lisa        | (118) 555-8106 | (118) 555-8106 | (219) 555-0139 |
| Lisa        | (118) 555-8106 | (118) 555-8106 | (375) 555-8161 |
| Lisa        | (118) 555-8106 | (118) 555-8106 | (496) 555-2096 |
| Angela      | (310) 555-8568 | (310) 555-8568 | (067) 555-4133 |
| Angela      | (310) 555-8568 | (310) 555-8568 | (117) 555-6630 |
| Angela      | (310) 555-8568 | (310) 555-8568 | (751) 555-6567 |
+-------------+----------------+----------------+----------------+
